0alias	0alias is deprecated. use '0install add' instead.0alias is deprecated. use '0install add' instead. 
cris-linux-gnu-cpp	the c preprocessor, often known as cpp, is a macro processor that is used automatically by the c compiler to transform your program before compilation. it is called a macro processor because it allows you to define macros, which are brief abbreviations for longer constructs. the c preprocessor is intended to be used only with c, c ++ , and objective-c source code. in the past, it has been abused as a general text processor. it will choke on input
cris-linux-gnu-dlltool	dlltool reads its inputs, which can come from the -d and -b options as well as object files specified on the command line. it then processes these inputs and if the -e option has been specified it creates a exports file. if the -l option has been specified it creates a library file and if the -z option has been specified it creates a def file. any or all of the -e, -l and -z options can be present in
cris-linux-gnu-elfedit	elfedit updates the elf header of elf files which have the matching elf machine and file types. the options control how and which fields in the elf header should be updated. elffile... are the elf files to be updated. 32-bit and 64-bit elf files are supported, as are archives containing elf files.elf files. 
cris-linux-gnu-gcc	when you invoke gcc , it normally does preprocessing, compilation, assembly and linking. the "overall options" allow you to stop this process at an intermediate stage. for example, the -c option says not to run the linker. then the output consists of object files output by the assembler. other options are passed on to one stage of processing. some options control the preprocessor and others the compiler itself. yet other options control the assembler and linker; most of these are
cris-linux-gnu-gcov	gcov is a test coverage program. use it in concert with gcc to analyze your programs to help create more efficient, faster running code and to discover untested parts of your program. you can use gcov as a profiling tool to help discover where your optimization efforts will best affect your code. you can also use gcov along with the other profiling tool, gprof, to assess which parts of your code use the greatest amount of computing time. profiling tools
cris-linux-gnu-gprof	"gprof" produces an execution profile of c, pascal, or fortran77 programs. the effect of called routines is incorporated in the profile of each caller. the profile data is taken from the call graph profile file (gmon.out default) which is created by programs that are compiled with the -pg option of "cc", "pc", and "f77". the -pg option also links in versions of the library routines that are compiled for profiling. "gprof" reads the given object file (the default is "a.out")
cris-linux-gnu-ld	ld combines a number of object and archive files, relocates their data and ties up symbol references. usually the last step in compiling a program is to run ld. ld accepts linker command language files written in a superset of at&t 's link editor command language syntax, to provide explicit and total control over the linking process. this man page does not describe the command language; see the ld entry in "info" for full details on the command language and
cris-linux-gnu-nlmconv	nlmconv converts the relocatable i386 object file infile into the netware loadable module outfile, optionally reading headerfile for nlm header information. for instructions on writing the nlm command file language used in header files, see the linkers section, nlmlink in particular, of the nlm development and tools overview, which is part of the nlm software developer's kit (" nlm sdk "), available from novell, inc. nlmconv uses the gnu binary file descriptor library to read infile; nlmconv can perform a
cris-linux-gnu-nm	gnu nm lists the symbols from object files objfile.... if no object files are listed as arguments, nm assumes the file a.out. for each symbol, nm shows:for each symbol, nm shows: 
cris-linux-gnu-objcopy	the gnu objcopy utility copies the contents of an object file to another. objcopy uses the gnu bfd library to read and write the object files. it can write the destination object file in a format different from that of the source object file. the exact behavior of objcopy is controlled by command-line options. note that objcopy should be able to copy a fully linked file between any two formats. however, copying a relocatable object file between any two formats
cris-linux-gnu-objdump	objdump displays information about one or more object files. the options control what particular information to display. this information is mostly useful to programmers who are working on the compilation tools, as opposed to programmers who just want their program to compile and work. objfile... are the object files to be examined. when you specify archives, objdump shows information on each of the member object files.files. 
cris-linux-gnu-ranlib	ranlib generates an index to the contents of an archive and stores it in the archive. the index lists each symbol defined by a member of an archive that is a relocatable object file. you may use nm -s or nm --print-armap to list this index. an archive with such an index speeds up linking to the library and allows routines in the library to call each other without regard to their placement in the archive. the gnu ranlib program
cris-linux-gnu-readelf	readelf displays information about one or more elf format object files. the options control what particular information to display. elffile... are the object files to be examined. 32-bit and 64-bit elf files are supported, as are archives containing elf files. this program performs a similar function to objdump but it goes into more detail and it exists independently of the bfd library, so if there is a bug in bfd then readelf will not be affected.there is a bug in
cris-linux-gnu-size	the gnu size utility lists the section sizes---and the total size---for each of the object or archive files objfile in its argument list. by default, one line of output is generated for each object file or each module in an archive. objfile... are the object files to be examined. if none are specified, the file "a.out" will be used.objfile... are the object files to be examined. if none are specified, the file "a.out" will be used. 
cris-linux-gnu-strings	for each file given, gnu strings prints the printable character sequences that are at least 4 characters long (or the number given with the options below) and are followed by an unprintable character. by default, it only prints the strings from the initialized and loaded sections of object files; for other types of files, it prints the strings from the whole file. strings is mainly useful for determining the contents of non-text files.strings is mainly useful for determining the contents
cris-linux-gnu-strip	gnu strip discards all symbols from object files objfile. the list of object files may include archives. at least one object file must be given. strip modifies the files named in its argument, rather than writing modified copies under different names.strip modifies the files named in its argument, rather than writing modified copies under different names. 
cris-linux-gnu-windmc	windmc reads message definitions from an input file (.mc) and translate them into a set of output files. the output files may be of four kinds:kinds: 
cris-linux-gnu-windres	windres reads resources from an input file and copies them into an output file. either file may be in one of three formats:windres reads resources from an input file and copies them into an output file. either file may be in one of three formats: 
critical	the critical program displays a self-organizing critical system that gradually emerges from chaos. critical performs a simulation on a two-dimensional array of integers. the array is initialized to random values. on each iteration, it draws a line to the array position with the greatest value. it then replaces that location and the eight neighboring locations with randomly-selected values. the lines are initially random, but over time a chaotic self-organizing system evolves: areas of the screen which happen to have lower
crl	the crl command processes crl files in der or pem format.the crl command processes crl files in der or pem format. 
crl2pkcs7	the crl2pkcs7 command takes an optional crl and one or more certificates and converts them into a pkcs#7 degenerate "certificates only" structure.only" structure. 
cronolog	cronolog is a simple program that reads log messages from its input and writes them to a set of output files, the names of which are constructed using template and the current date and time. the template uses the same format specifiers as the unix date(1) command (which are the same as the standard c strftime library function). before writing a message cronolog checks the time to see whether the current log file is still valid and if not it
cronosplit	cronosplit is a simple program that reads lines from a set of input log files, which must be in common log format and write each lines to an output files, the name of which is constructed using the template specified and timestamp from the the line. the template uses the same format specifiers as the unix date(1) command (which are the same as the standard c strftime library function).library function). 
crontab	crontab is the program used to install, remove or list the tables used to drive the cron(8) daemon. each user can have their own crontab, and though these are files in /var/spool/ , they are not intended to be edited directly. for selinux in mls mode can be even more crontabs - for each range. for more see selinux(8). the cron jobs could be allow or disallow for different users. for classical crontab there exists cron.allow and cron.deny files. if
cross-addr2line	addr2line translates addresses into file names and line numbers. given an address in an executable or an offset in a section of a relocatable object, it uses the debugging information to figure out which file name and line number are associated with it. the executable or relocatable object to use is specified with the -e option. the default is the file a.out. the section in the relocatable object to use is specified with the -j option. addr2line has two modes
cross-ar	the gnu ar program creates, modifies, and extracts from archives. an archive is a single file holding a collection of other files in a structure that makes it possible to retrieve the original individual files (called members of the archive). the original files' contents, mode (permissions), timestamp, owner, and group are preserved in the archive, and can be restored on extraction. gnu ar can maintain archives whose members have names of any length; however, depending on how ar is configured
cross-as	gnu as is really a family of assemblers. if you use (or have used) the gnu assembler on one architecture, you should find a fairly similar environment when you use it on another architecture. each version has much in common with the others, including object file formats, most assembler directives (often called pseudo-ops) and assembler syntax. as is primarily intended to assemble the output of the gnu c compiler "gcc" for use by the linker "ld". nevertheless, we've tried to
cross-c++filt	the c ++ and java languages provide function overloading, which means that you can write many functions with the same name, providing that each function takes parameters of different types. in order to be able to distinguish these similarly named functions c ++ and java encode them into a low-level assembler name which uniquely identifies each different version. this process is known as mangling. the c++filt [1] program does the inverse mapping: it decodes (demangles) low-level names into user-level names
cross-cpp	the c preprocessor, often known as cpp, is a macro processor that is used automatically by the c compiler to transform your program before compilation. it is called a macro processor because it allows you to define macros, which are brief abbreviations for longer constructs. the c preprocessor is intended to be used only with c, c ++ , and objective-c source code. in the past, it has been abused as a general text processor. it will choke on input
cross-dlltool	dlltool reads its inputs, which can come from the -d and -b options as well as object files specified on the command line. it then processes these inputs and if the -e option has been specified it creates a exports file. if the -l option has been specified it creates a library file and if the -z option has been specified it creates a def file. any or all of the -e, -l and -z options can be present in
cross-elfedit	elfedit updates the elf header of elf files which have the matching elf machine and file types. the options control how and which fields in the elf header should be updated. elffile... are the elf files to be updated. 32-bit and 64-bit elf files are supported, as are archives containing elf files.elf files. 
cross-gcc	when you invoke gcc , it normally does preprocessing, compilation, assembly and linking. the "overall options" allow you to stop this process at an intermediate stage. for example, the -c option says not to run the linker. then the output consists of object files output by the assembler. other options are passed on to one stage of processing. some options control the preprocessor and others the compiler itself. yet other options control the assembler and linker; most of these are
cross-gcov	gcov is a test coverage program. use it in concert with gcc to analyze your programs to help create more efficient, faster running code and to discover untested parts of your program. you can use gcov as a profiling tool to help discover where your optimization efforts will best affect your code. you can also use gcov along with the other profiling tool, gprof, to assess which parts of your code use the greatest amount of computing time. profiling tools
cross-gprof	"gprof" produces an execution profile of c, pascal, or fortran77 programs. the effect of called routines is incorporated in the profile of each caller. the profile data is taken from the call graph profile file (gmon.out default) which is created by programs that are compiled with the -pg option of "cc", "pc", and "f77". the -pg option also links in versions of the library routines that are compiled for profiling. "gprof" reads the given object file (the default is "a.out")
cross-ld	ld combines a number of object and archive files, relocates their data and ties up symbol references. usually the last step in compiling a program is to run ld. ld accepts linker command language files written in a superset of at&t 's link editor command language syntax, to provide explicit and total control over the linking process. this man page does not describe the command language; see the ld entry in "info" for full details on the command language and
cross-nlmconv	nlmconv converts the relocatable i386 object file infile into the netware loadable module outfile, optionally reading headerfile for nlm header information. for instructions on writing the nlm command file language used in header files, see the linkers section, nlmlink in particular, of the nlm development and tools overview, which is part of the nlm software developer's kit (" nlm sdk "), available from novell, inc. nlmconv uses the gnu binary file descriptor library to read infile; nlmconv can perform a
cross-nm	gnu nm lists the symbols from object files objfile.... if no object files are listed as arguments, nm assumes the file a.out. for each symbol, nm shows:for each symbol, nm shows: 
cross-objcopy	the gnu objcopy utility copies the contents of an object file to another. objcopy uses the gnu bfd library to read and write the object files. it can write the destination object file in a format different from that of the source object file. the exact behavior of objcopy is controlled by command-line options. note that objcopy should be able to copy a fully linked file between any two formats. however, copying a relocatable object file between any two formats
cross-objdump	objdump displays information about one or more object files. the options control what particular information to display. this information is mostly useful to programmers who are working on the compilation tools, as opposed to programmers who just want their program to compile and work. objfile... are the object files to be examined. when you specify archives, objdump shows information on each of the member object files.files. 
cross-ranlib	ranlib generates an index to the contents of an archive and stores it in the archive. the index lists each symbol defined by a member of an archive that is a relocatable object file. you may use nm -s or nm --print-armap to list this index. an archive with such an index speeds up linking to the library and allows routines in the library to call each other without regard to their placement in the archive. the gnu ranlib program
cross-readelf	readelf displays information about one or more elf format object files. the options control what particular information to display. elffile... are the object files to be examined. 32-bit and 64-bit elf files are supported, as are archives containing elf files. this program performs a similar function to objdump but it goes into more detail and it exists independently of the bfd library, so if there is a bug in bfd then readelf will not be affected.there is a bug in
cross-size	the gnu size utility lists the section sizes---and the total size---for each of the object or archive files objfile in its argument list. by default, one line of output is generated for each object file or each module in an archive. objfile... are the object files to be examined. if none are specified, the file "a.out" will be used.objfile... are the object files to be examined. if none are specified, the file "a.out" will be used. 
cross-strings	for each file given, gnu strings prints the printable character sequences that are at least 4 characters long (or the number given with the options below) and are followed by an unprintable character. by default, it only prints the strings from the initialized and loaded sections of object files; for other types of files, it prints the strings from the whole file. strings is mainly useful for determining the contents of non-text files.strings is mainly useful for determining the contents
cross-strip	gnu strip discards all symbols from object files objfile. the list of object files may include archives. at least one object file must be given. strip modifies the files named in its argument, rather than writing modified copies under different names.strip modifies the files named in its argument, rather than writing modified copies under different names. 
cross-windmc	windmc reads message definitions from an input file (.mc) and translate them into a set of output files. the output files may be of four kinds:kinds: 
cross-windres	windres reads resources from an input file and copies them into an output file. either file may be in one of three formats:windres reads resources from an input file and copies them into an output file. either file may be in one of three formats: 
crossroads	crossroads is the main control program of crossroads, a balancing and fail over utility. the crossroads utility consists of two binaries: crossroads and crossroads-daemon. the latter is controlled by the front end crossroads. recognized states in crossroads tell are:recognized states in crossroads tell are: 
crossroads-mgr	crossroads-mgr is a self-contained web server, written in perl, providing a web interface to control crossroads. the web interface allows one to:crossroads-mgr is a self-contained web server, written in perl, providing a web interface to control crossroads. the web interface allows one to: 
cryptoflex-tool	cryptoflex-tool is used to manipulate pkcs data structures on schlumberger cryptoflex smart cards. users can create, list and read pins and keys stored on the smart card. user pin authentication is performed for those operations that require it.stored on the smart card. user pin authentication is performed for those operations that require it. 
crystal	moving polygons, similar to a kaleidescope (more like a kaleidescope than the hack called 'kaleid,' actually.)'kaleid,' actually.) 
cs2cs	cs2cs performs transformation between the source and destination cartographic coordinate system on a set of input points. the coordinate system transformation can include translation between projected and geographic coordinates as well as the application of datum shifts. the following control parameters can appear in any order:the following control parameters can appear in any order: 
cscope	cscope is an interactive, screen-oriented tool that allows the user to browse through c source files for specified elements of code. by default, cscope examines the c (.c and .h), lex (.l), and yacc (.y) source files in the current directory. cscope may also be invoked for source files named on the command line. in either case, cscope searches the standard directories for #include files that it does not find in the current directory. cscope uses a symbol cross-reference, called
csepdjvu	this program creates a djvudocument file outputdjvufile from separated data files sepfiles. it can read separated data from the standard input when given a single dash instead of the separated data file names. this feature is intended for pre-processing programs that push separated data into csepdjvu via a pipe. each separated data file represents one or more page images. when the program arguments specify multiple pages, all the pages are encoded and saved as a bundled multi-page document. when the
csh	tcsh is an enhanced but completely compatible version of the berkeley unix c shell, csh(1). it is a command language interpreter usable both as an interactive login shell and a shell script command processor. it includes a command-line editor (see the command-line editor), programmable word completion (see completion and listing), spelling correction (see spelling correction), a history mechanism (see history substitution), job control (see jobs) and a c-like syntax. the new features section describes major enhancements of tcsh over csh(1).
csharp	the csharp is an interactive c# shell that allows the user to enter and evaluate c# statements and expressions from the command line. the regular mcs command line options can be used in this version of the compiler. the gsharp command is a gui version of the c# interpreter that uses gtk# and provides an area to attach widgets as well. this version can be attached to other gtk# applications in a safe way as it injects itself into the
cshost	the cshost(1) prints the list of machines that are allowed to make connections to cannaserver(1m). cannaserver(1m) allows network connections only from programs running on the same machine or machines listed in the file /etc/hosts.canna. if /etc/hosts.canna does not exist or the file is empty, access is granted to everyone./etc/hosts.canna does not exist or the file is empty, access is granted to everyone. 
csplit	output pieces of file separated by pattern(s) to files 'xx00', 'xx01', ..., and output byte counts of each piece to standard output.output pieces of file separated by pattern(s) to files 'xx00', 'xx01', ..., and output byte counts of each piece to standard output. 
cssh	the command opens an administration console and an xterm to all specified hosts. any text typed into the administration console is replicated to all windows. all windows may also be typed into directly. this tool is intended for (but not limited to) cluster administration where the same configuration or commands must be run on each node within the cluster. performing these commands all at once via this tool ensures all nodes are kept in sync. connections are opened via ssh
cssrancid	rancid is a perl(1) script which uses the login scripts (see clogin(1)) to login to a device, execute commands to display the configuration, etc, then filters the output for formatting, security, and so on. rancid's product is a file with the name of it's last argument plus the suffix .new. for example, hostname.new. there are complementary scripts for other platforms and/or manufacturers that are supported by rancid(1). briefly, these are:there are complementary scripts for other platforms and/or manufacturers that are
cstream	cstream filters data streams, much like the unix tool dd(1). it has a more traditional commandline syntax, support for precise bandwidth limiting and reporting and support for fifos. data limits and throughput rate calculation will work for files > 4 gb. cstream reads from the standard input and writes to the standard output, if no filenames are given. it will also 'generate' or 'sink' data if desired. options: -b num'          set
csv2po	see: http://translate.sourceforge.net/wiki/toolkit/csv2po for examples and usage instructionsinstructions 
csv2yapet	the csv2yapet utility converts a csv file src to an yapet file dst. the expected columns and column order of the csv file is explained in the section called "source file format". for each successfully imported source file record a corresponding yapet password record will be generated in the resulting file. after the successful conversion the file dst can be opened with yapet(1). the file suffix .pet is appended to the output file dst if not provided as part of
csync2	this manual page documents briefly the csync2 command. a verbose manual can be found on the csync2 homepage:a verbose manual can be found on the csync2 homepage: 
ct_run	the ct_run program is automatically installed with erlang/otp and common test (please see the installation chapter in the common test user's guide for more information). the program accepts a number of different start flags. some flags trigger ct_run to start the common test application and pass on data to it. some flags start an erlang node prepared for running common test in a particular mode. there is an interface function that corresponds to this program, called ct:run_test/1, for starting common
ctags	the ctags and etags programs (hereinafter collectively referred to as ctags, except where distinguished) generate an index (or "tag") file for a variety of language objects found in file(s). this tag file allows these items to be quickly and easily located by a text editor or other utility. a "tag" signifies a language object for which an index entry is available (or, alternatively, the index entry created for that object). alternatively, ctags can generate a cross reference file which lists,
ctangle	the ctangle program converts a cweb source document into a c program that may be compiled in the usual way. the output file includes #line specifications so that debugging can be done in terms of the cweb source file. the cweave program converts the same cweb file into a tex file that may be formatted and printed in the usual way. it takes appropriate care of typographic details like page layout and the use of indentation, italics, boldface, etc., and
ctdb	ctdb is a utility to view and manage a ctdb cluster.ctdb is a utility to view and manage a ctdb cluster. 
ctdbd	ctdbd is the main ctdb daemon. ctdbd provides a clustered version of the tdb database with automatic rebuild/recovery of the databases upon nodefailures. combined with a cluster filesystem ctdbd provides a full ha environment for services such as clustered samba and nfs as well as other services. ctdbd provides monitoring of all nodes in the cluster and automatically reconfigures the cluster and recovers upon node failures. ctdbd is the main component in clustered samba that provides a high-availability load-sharing cifs
ctest	the "ctest" executable is the cmake test driver program. cmake-generated build trees created for projects that use the enable_testing and add_test commands have testing support. this program will run the tests and report results.have testing support. this program will run the tests and report results. 
ctest28	the "ctest" executable is the cmake test driver program. cmake-generated build trees created for projects that use the enable_testing and add_test commands have testing support. this program will run the tests and report results.have testing support. this program will run the tests and report results. 
ctie	the ctie program is used to process multiple change files used with the cweb system for literate programming. the cweb programs allow one to apply patches to a source file (the masterfile) by means of a single change file. ctie can be used to either merge up to 32 change files into a single one or to apply the changes to the masterfile in order to create a new master file. output of either the new change file or the
ctopy	ctopy automates the parts of translating c source code to python source code that are difficult for a human but easy for a machine. this allows a human programmer to concentrate on the parts of the translation that actually require human attention. ctopy uses regular expressions rather than actually parsing the c, so it is easily confused by syntactically invalid c or even irregular indentation styles. on the other hand, this approach makes it easier to preserve the location of
ctow	ctow converts the canna text-form dictionary file into the wnn text-form dictionary. if all dictionary files are omitted, this dictionary is input through the standard input. in this case, the wnn dictionary is output to the standard output. if only one dictionary file is specified, it is regarded as the one of the japanes input system. in this case, the wnn dictionary is output from the standard output.the japanes input system. in this case, the wnn dictionary is output from
ctrans	ctrans is a metafile translator, taking metafile(s), a metafile stored in the ncar computer graphics metafile (cgm) standard, and interpreting its instructions on the device defined by the graphcap environment variable. fonts are stroked according to specifications in the fontcap file defined by the fontcap environment variable. ctrans utilizes graphcaps by default, see graphcap(5ncarg), while providing optional processing by user provided libraries, if that is required by the device or desired by the user. thus, ctrans is capable of driving
ctunnel	this manual page documents briefly the ctunnel command. ctunnel is a command line program for tunneling and/or proxying tcp or udp connections via a cryptographic tunnel. ctunnel can be used to secure any existing tcp or udp based protocol, such as (but not limited to) http, telnet, ftp, rsh, mysql, vnc, ssh, xdmcp and nfs. ctunnel can also proxy connections, effectivly bouncing a cryptographic tunnel via any number of intermediary hosts (at a loss of speed of course).ctunnel can also
ctxtools	ctxtools is useful for dealing with context source and generated files and for installing new versions of context.ctxtools is useful for dealing with context source and generated files and for installing new versions of context. 
cu	the cu command is used to call up another system and act as a dial in terminal. it can also do simple file transfers with no error checking. cu takes a single argument, besides the options. if the argument is the string "dir" cu will make a direct connection to the port. this may only be used by users with write access to the port, as it permits reprogramming the modem. otherwise, if the argument begins with a digit, it
cubenetic	draws a pulsating set of overlapping boxes with ever-chaning blobby patterns undulating across their surfaces.their surfaces. 
cubestorm	draws a series of rotating 3d boxes that intersect each other and eventually fill space.draws a series of rotating 3d boxes that intersect each other and eventually fill space. 
cue2toc	cue2toc converts cuefile from cue to toc format and writes the result to tocfile. if either cuefile or tocfile is omitted or a single dash "-" cue2toc reads from standard input and writes to standard ouput respectively. cue files are text files describing the layout of a cd-rom and typically carry the extension ".cue". cdrdao is a cd-burning application which has its own native toc format to describe the disc layout. although cdrdao has direct support for reading cue files,
cups-config	cups-config is the cups program configuration utility. it should be used by application developers to determine the necessary command-line options for the compiler and linker, as well as determining installation directories for filters, configuration files, and drivers.and drivers. 
cupstestdsc	cupstestdsc tests the conformance of postscript files to the adobe postscript language document structuring conventions specification version 3.0. the results of testing and any other output are sent to the standard output. the second form of the command reads postscript from the standard input.reads postscript from the standard input. 
cupstestppd	cupstestppd tests the conformance of ppd files to the adobe postscript printer description file format specification version 4.3. it can also be used to list the supported options and available fonts in a ppd file. the results of testing and any other output are sent to the standard output. the first form of cupstestppd tests one or more ppd files on the command-line. the second form tests the ppd file provided on the standard input.the first form of cupstestppd tests
curl	curl is a tool to transfer data from or to a server, using one of the supported protocols (http, https, ftp, ftps, scp, sftp, tftp, dict, telnet, ldap or file). the command is designed to work without user interaction. curl offers a busload of useful tricks like proxy support, user authentication, ftp upload, http post, ssl connections, cookies, file transfer resume and more. as you will see below, the number of features will make your head spin! curl is powered
curl-config	curl-config displays information about the curl and libcurl installation.curl-config displays information about the curl and libcurl installation. 
curlftpfs	the program curlftpfs is a tool to mount remote ftp hosts as local directories. it connects to the host ftp server and maps its directory structure to the path directory. curlftpfs is powered by libcurl for all transfer-related features. see libcurl(3) for details. the filesystem part is implemented on top of fuse. see http://fuse.sourceforge.net/ for details.fuse. see http://fuse.sourceforge.net/ for details. 
cut	print selected parts of lines from each file to standard output.print selected parts of lines from each file to standard output. 
cutmp3	cutmp3 is a small and fast command line mp3 editor. it lets you select sections of an mp3 interactively or via a timetable and save them to separate files without quality loss. it uses mpg123 for playback and works with vbr files and even with files bigger than 2gb. other features are configurable silence seeking and id3 tag seeking, which are useful for concatenated mp3s.bigger than 2gb. other features are configurable silence seeking and id3 tag seeking, which are useful
cvs2git	create a new git repository based on the version history stored in a cvs repository. each cvs commit will be mirrored in the git repository, including such information as date of commit and id of the committer. the output of this program are a "blobfile" and a "dumpfile", which together can be loaded into a git repository using "git fast-import". cvs-repos-path is the filesystem path of the part of the cvs repository that you want to convert. this path doesn't
cvs2svn	create a new subversion repository based on the version history stored in a cvs repository. each cvs commit will be mirrored in the subversion repository, including such information as date of commit and id of the committer. cvs-repos-path is the filesystem path of the part of the cvs repository that you want to convert. it is not possible to convert a cvs repository to which you only have remote access; see the faq for more information. this path doesn't have
cvsblame	cvsblame opens konqueror to display the output of cvs annotate of a cvs controlled file. when the mouse is on a revision number shown in the second column, a popup with the respective log message appears. in the popup, a proper mailto: link to the author of a revision can be created as follows: in your home directory, make a file .cvsblame. in that file, enter for each repository you are working with a line like accounts :pserver:gehrmab@cvs.kde.org:/home/kde /home/bernd/.kdeaccountswhere the
cvscheck	cvscheck prints information about the status of your local cvs checkout without communicating with the server. this means it is extremely fast and does not require a network connection. the given directory and all of its subdirectories will be processed recursively. if no directory is given, the current directory and its recursed subdirectories will be used. each file with an interesting status will be printed with a status character in front of its name. the status characters are as follows.each
cvsgraph	cvsgraph generates images and image maps from cvs/rcs repository files.cvsgraph generates images and image maps from cvs/rcs repository files. 
cvslastchange	cvslastchange displays the last change committed to cvs for a file. it uses cvs diff and cvs log to do this. cvslastchange works on any cvs branch, not just head. this utility is part of the kde software development kit.this utility is part of the kde software development kit. 
cvslastlog	cvslastlog shows the log associated with the last cvs commit for the given file. it depends on the version of the local file, not the one on the server. this utility is part of the kde software development kit.this utility is part of the kde software development kit. 
cvsps	cvsps is a program for generating 'patchset' information from a cvs repository. a patchset in this case is defined as a set of changes made to a collection of files, and all committed at the same time (using a single 'cvs commit' command). this information is valuable to seeing the big picture of the evolution of a cvs project. while cvs tracks revision information, it is often difficult to see what changes were committeda cvs project. while cvs tracks revision
cvsrevertlast	cvsrevertlast is used to revert all the files on the command line by one version in cvs. the files will not be committed. this utility is part of the kde software development kit.this utility is part of the kde software development kit. 
cvsversion	cvsversion displays the version in cvs of a file, as known by the local checked out directory. no connection is required to the cvs server. it can be used in other scripts, or simply to ask for diffs using cvs diff -r <version> [-r <version>] <file>cvs diff -r <version> [-r <version>] <file> 
cvt	cvt is a utility for calculating vesa coordinated video timing modes. given the desired horizontal and vertical resolutions, a modeline adhering to the cvt standard is printed. this modeline can be included in xorg xorg.conf(5)and vertical resolutions, a modeline adhering to the cvt standard is printed. this modeline can be included in xorg xorg.conf(5) 
cvtenc	converts a file encoded in a specified or default non-unicode encoding to unicode, or, if the file is already in unicode, converts it to a specified or default non-unicode encoding. the converted text is printed to standard out.default non-unicode encoding. the converted text is printed to standard out. 
cweave	the ctangle program converts a cweb source document into a c program that may be compiled in the usual way. the output file includes #line specifications so that debugging can be done in terms of the cweb source file. the cweave program converts the same cweb file into a tex file that may be formatted and printed in the usual way. it takes appropriate care of typographic details like page layout and the use of indentation, italics, boldface, etc., and
cweb	the ctangle program converts a cweb source document into a c program that may be compiled in the usual way. the output file includes #line specifications so that debugging can be done in terms of the cweb source file. the cweave program converts the same cweb file into a tex file that may be formatted and printed in the usual way. it takes appropriate care of typographic details like page layout and the use of indentation, italics, boldface, etc., and
cxmon	cxmon is an interactive command-driven file manipulation tool that is inspired by the "amiga monitor" by timo rossi. it has commands and features similar to a machine code monitor/debugger, but it lacks any functions for running/tracing code. there are, however, built-in powerpc, 680x0, 80x86, 6502 and z80 disassemblers and special support for disassembling macos code. by default, cxmon operates on a fixed-size (but adjustable) memory buffer with adresses starting at 0. type "h" to get a list of supported commands.
cxpm	the cxpm program can be used to check the format of any xpm (version 1, 2, or 3) file. on error, unlike sxpm, cxpm prints out an error message indicating where the parser choked. this should help finding out what's wrong with an xpm file but do not expect too much from it though. this is not even close from being some kind of lint program for xpm. first, it stops at the first error it encounters - so several
cxref	the cxref utility shall analyze a collection of c-language files and attempt to build a cross-reference table. information from #define lines shall be included in the symbol table. a sorted listing shall be written to standard output of all symbols (auto, static, and global) in each file separately, or with the -c option, in combination. each symbol shall contain an asterisk before the declaring reference.separately, or with the -c option, in combination. each symbol shall contain an asterisk before the
cxxmetric	cxxmetric counts lines of code, comment and blank space and calculates various other statistics for each given source file. source files must be in c or c++. this utility is part of the kde software development kit.this utility is part of the kde software development kit. 
cyaddrules	the cyphesis tools manage the data and configuration files used by cyphesis. the cyaddrules tool uploads atlas xml rules files into the a running server. if rules already exist in the server, then the default attributes are updated, and if the rule has a script associated with it, then the script is reloaded from file. cyaddrules can either upload the file given on the command line, or if none is specified it will upload the rule file for the ruleset
cyclient	the cyclient program connects to a cyphesis server and populates the world with data.the cyclient program connects to a cyphesis server and populates the world with data. 
cycmd	the cycmd program provides a commandline interface to a cyphesis server.the cycmd program provides a commandline interface to a cyphesis server. 
cyconvertrules	the cyphesis tools manage the data and configuration files used by cyphesis. the cyaddrules tool uploads atlas xml rules files into the a running server. if rules already exist in the server, then the default attributes are updated, and if the rule has a script associated with it, then the script is reloaded from file. cyaddrules can either upload the file given on the command line, or if none is specified it will upload the rule file for the ruleset
cydumprules	the cyphesis tools manage the data and configuration files used by cyphesis. the cyaddrules tool uploads atlas xml rules files into the a running server. if rules already exist in the server, then the default attributes are updated, and if the rule has a script associated with it, then the script is reloaded from file. cyaddrules can either upload the file given on the command line, or if none is specified it will upload the rule file for the ruleset
cyloadrules	the cyphesis tools manage the data and configuration files used by cyphesis. the cyaddrules tool uploads atlas xml rules files into the a running server. if rules already exist in the server, then the default attributes are updated, and if the rule has a script associated with it, then the script is reloaded from file. cyaddrules can either upload the file given on the command line, or if none is specified it will upload the rule file for the ruleset
cynosure	a hack similar to 'greynetic', but less frenetic. the first implementation was by stephen linhart; then ozymandias g. desiderata wrote a java applet clone. that clone was discovered by jamie zawinski, and ported to c for inclusion here.linhart; then ozymandias g. desiderata wrote a java applet clone. that clone was discovered by jamie zawinski, and ported to c for inclusion here. 
cypasswd	the cyphesis tools manage the data and configuration files used by cyphesis. the cyaddrules tool uploads atlas xml rules files into the a running server. if rules already exist in the server, then the default attributes are updated, and if the rule has a script associated with it, then the script is reloaded from file. cyaddrules can either upload the file given on the command line, or if none is specified it will upload the rule file for the ruleset
